Initial w = 0.1009
Initial b = 0.1500
Epoch 75000/120000, Loss: 0.00010297, Current w: 2.000305, Current b: 0.979553
Epoch 76000/120000, Loss: 0.00009331, Current w: 2.000291, Current b: 0.980535
Epoch 77000/120000, Loss: 0.00008456, Current w: 2.000277, Current b: 0.981471
Epoch 78000/120000, Loss: 0.00007663, Current w: 2.000263, Current b: 0.982361
Epoch 79000/120000, Loss: 0.00006944, Current w: 2.000251, Current b: 0.983209
Epoch 80000/120000, Loss: 0.00006293, Current w: 2.000239, Current b: 0.984015
Epoch 81000/120000, Loss: 0.00005703, Current w: 2.000227, Current b: 0.984784
Epoch 82000/120000, Loss: 0.00005168, Current w: 2.000216, Current b: 0.985515
Epoch 83000/120000, Loss: 0.00004683, Current w: 2.000206, Current b: 0.986211
Epoch 84000/120000, Loss: 0.00004244, Current w: 2.000196, Current b: 0.986873
Epoch 85000/120000, Loss: 0.00003846, Current w: 2.000187, Current b: 0.987504
Epoch 86000/120000, Loss: 0.00003485, Current w: 2.000178, Current b: 0.988105
Epoch 87000/120000, Loss: 0.00003158, Current w: 2.000169, Current b: 0.988676
Epoch 88000/120000, Loss: 0.00002862, Current w: 2.000161, Current b: 0.989220
Epoch 89000/120000, Loss: 0.00002594, Current w: 2.000153, Current b: 0.989738
Epoch 90000/120000, Loss: 0.00002350, Current w: 2.000146, Current b: 0.990231
Epoch 91000/120000, Loss: 0.00002130, Current w: 2.000139, Current b: 0.990701
Epoch 92000/120000, Loss: 0.00001930, Current w: 2.000132, Current b: 0.991148
Epoch 93000/120000, Loss: 0.00001749, Current w: 2.000126, Current b: 0.991573
Epoch 94000/120000, Loss: 0.00001585, Current w: 2.000120, Current b: 0.991978
Epoch 95000/120000, Loss: 0.00001436, Current w: 2.000114, Current b: 0.992363
Epoch 96000/120000, Loss: 0.00001302, Current w: 2.000109, Current b: 0.992730
Epoch 97000/120000, Loss: 0.00001180, Current w: 2.000103, Current b: 0.993080
Epoch 98000/120000, Loss: 0.00001069, Current w: 2.000098, Current b: 0.993412
Epoch 99000/120000, Loss: 0.00000969, Current w: 2.000094, Current b: 0.993729
Epoch 100000/120000, Loss: 0.00000878, Current w: 2.000089, Current b: 0.994030
Epoch 101000/120000, Loss: 0.00000795, Current w: 2.000085, Current b: 0.994317
Epoch 102000/120000, Loss: 0.00000721, Current w: 2.000081, Current b: 0.994590
Epoch 103000/120000, Loss: 0.00000653, Current w: 2.000077, Current b: 0.994850
Epoch 104000/120000, Loss: 0.00000592, Current w: 2.000073, Current b: 0.995097
Epoch 105000/120000, Loss: 0.00000536, Current w: 2.000070, Current b: 0.995333
Epoch 106000/120000, Loss: 0.00000486, Current w: 2.000066, Current b: 0.995557
Epoch 107000/120000, Loss: 0.00000441, Current w: 2.000063, Current b: 0.995771
Epoch 108000/120000, Loss: 0.00000399, Current w: 2.000060, Current b: 0.995974
Epoch 109000/120000, Loss: 0.00000362, Current w: 2.000057, Current b: 0.996167
Epoch 110000/120000, Loss: 0.00000328, Current w: 2.000054, Current b: 0.996352
Epoch 111000/120000, Loss: 0.00000297, Current w: 2.000052, Current b: 0.996527
Epoch 112000/120000, Loss: 0.00000269, Current w: 2.000049, Current b: 0.996694
Epoch 113000/120000, Loss: 0.00000244, Current w: 2.000047, Current b: 0.996853
Epoch 114000/120000, Loss: 0.00000221, Current w: 2.000045, Current b: 0.997004
Epoch 115000/120000, Loss: 0.00000200, Current w: 2.000043, Current b: 0.997148
Epoch 116000/120000, Loss: 0.00000182, Current w: 2.000041, Current b: 0.997285
Epoch 117000/120000, Loss: 0.00000165, Current w: 2.000039, Current b: 0.997415
Epoch 118000/120000, Loss: 0.00000149, Current w: 2.000037, Current b: 0.997540
Epoch 119000/120000, Loss: 0.00000135, Current w: 2.000035, Current b: 0.997658
Epoch 120000/120000, Loss: 0.00000122, Current w: 2.000033, Current b: 0.997770

 --- Training Finished ---
Final w = 2.000033
Final b = 0.997770

 --- Testing the model ---

Actual Y for x=40: 81
Model predict for x=40: 80.99910156374625

Actual Y for x=75: 151
Model predict for x=75: 151.00026641367702
