based on this simple data:
    X = [[0, 0], [0, 1], [1, 0], [1, 1]]
    Y = [[0], [1], [1], [1]]



Epoch 17500, Loss: 0.0965
Epoch 17600, Loss: 0.0959
Epoch 17700, Loss: 0.0953
Epoch 17800, Loss: 0.0946
Epoch 17900, Loss: 0.0940
Epoch 18000, Loss: 0.0934
Epoch 18100, Loss: 0.0928
Epoch 18200, Loss: 0.0922
Epoch 18300, Loss: 0.0916
Epoch 18400, Loss: 0.0910
Epoch 18500, Loss: 0.0904
Epoch 18600, Loss: 0.0899
Epoch 18700, Loss: 0.0893
Epoch 18800, Loss: 0.0887
Epoch 18900, Loss: 0.0882
Epoch 19000, Loss: 0.0876
Epoch 19100, Loss: 0.0871
Epoch 19200, Loss: 0.0865
Epoch 19300, Loss: 0.0860
Epoch 19400, Loss: 0.0855
Epoch 19500, Loss: 0.0850
Epoch 19600, Loss: 0.0845
Epoch 19700, Loss: 0.0840
Epoch 19800, Loss: 0.0835
Epoch 19900, Loss: 0.0830
Epoch 20000, Loss: 0.0825
Epoch 20100, Loss: 0.0820
Epoch 20200, Loss: 0.0815
Epoch 20300, Loss: 0.0810
Epoch 20400, Loss: 0.0806
Epoch 20500, Loss: 0.0801
Epoch 20600, Loss: 0.0797
Epoch 20700, Loss: 0.0792
Epoch 20800, Loss: 0.0788
Epoch 20900, Loss: 0.0783
Epoch 21000, Loss: 0.0779
Epoch 21100, Loss: 0.0774
Epoch 21200, Loss: 0.0770
Epoch 21300, Loss: 0.0766
Epoch 21400, Loss: 0.0762
Epoch 21500, Loss: 0.0757
Epoch 21600, Loss: 0.0753
Epoch 21700, Loss: 0.0749
Epoch 21800, Loss: 0.0745
Epoch 21900, Loss: 0.0741
Epoch 22000, Loss: 0.0737
Epoch 22100, Loss: 0.0733
Epoch 22200, Loss: 0.0729
Epoch 22300, Loss: 0.0725
Epoch 22400, Loss: 0.0722
Epoch 22500, Loss: 0.0718
Epoch 22600, Loss: 0.0714
Epoch 22700, Loss: 0.0710
Epoch 22800, Loss: 0.0707
Epoch 22900, Loss: 0.0703
Epoch 23000, Loss: 0.0700
Epoch 23100, Loss: 0.0696
Epoch 23200, Loss: 0.0692
Epoch 23300, Loss: 0.0689
